clave_busqueda,id_ubicacion,cve_ent,cve_mun,cve_loc
22192,1,2,2,192
211,2,2,1,1
221581,3,2,2,1581
21186,4,2,1,186
222900,5,2,2,2900
22268,6,2,2,268
221,7,2,2,1
2640,8,2,6,40
21139,9,2,1,139
26117,10,2,6,117
21184,11,2,1,184
21247,12,2,1,247
261,13,2,6,1
21243,14,2,1,243
241,15,2,4,1
271,16,2,7,1
232033,17,2,3,2033
22141,18,2,2,141
22237,19,2,2,237
211231,20,2,1,1231
231,21,2,3,1
26837,22,2,6,837
2195,23,2,1,95
212580,24,2,1,2580
26700,25,2,6,700
2748,26,2,7,48
25305,27,2,5,305
26115,28,2,6,115
26118,29,2,6,118
22231,30,2,2,231
26585,31,2,6,585
213950,32,2,1,3950
21190,33,2,1,190
2677,34,2,6,77
22461,35,2,2,461
211962,36,2,1,1962
26150,37,2,6,150
2622,38,2,6,22
2590,39,2,5,90
213172,40,2,1,3172
213122,41,2,1,3122
21124,42,2,1,124
26861,43,2,6,861
26121,44,2,6,121
26126,45,2,6,126
26732,46,2,6,732
27188,47,2,7,188
27225,48,2,7,225
26863,49,2,6,863
2685,50,2,6,85
26124,51,2,6,124
26127,52,2,6,127
22185,53,2,2,185
26683,54,2,6,683
26225,55,2,6,225
221195,56,2,2,1195
22402,57,2,2,402
22411,58,2,2,411
256,59,2,5,6
211050,60,2,1,1050
2682,61,2,6,82
26630,62,2,6,630
212465,63,2,1,2465
214444,64,2,1,4444
23209,65,2,3,209
22210,66,2,2,210
224839,67,2,2,4839
227217,68,2,2,7217
22505,69,2,2,505
22333,70,2,2,333
221388,71,2,2,1388
23107,72,2,3,107
222887,73,2,2,2887
27175,74,2,7,175
241359,75,2,4,1359
26841,76,2,6,841
242102,77,2,4,2102
241060,78,2,4,1060
2760,79,2,7,60
221677,80,2,2,1677
26224,81,2,6,224
2681,82,2,6,81
251,83,2,5,1
22159,84,2,2,159
222473,85,2,2,2473
21114,86,2,1,114
241875,87,2,4,1875
241883,88,2,4,1883
24606,89,2,4,606
222507,90,2,2,2507
22456,91,2,2,456
22225,92,2,2,225
23340,93,2,3,340
223616,94,2,2,3616
222836,95,2,2,2836
231969,96,2,3,1969
215122,97,2,1,5122
22459,98,2,2,459
22111,99,2,2,111
22206,100,2,2,206
22362,101,2,2,362
22514,102,2,2,514
22358,103,2,2,358
224852,104,2,2,4852
22266,105,2,2,266
223602,106,2,2,3602
223660,107,2,2,3660
22510,108,2,2,510
221239,109,2,2,1239
221564,110,2,2,1564
24575,111,2,4,575
222893,112,2,2,2893
22176,113,2,2,176
2769,114,2,7,69
27202,115,2,7,202
241919,116,2,4,1919
22195,117,2,2,195
241351,118,2,4,1351
2389,119,2,3,89
222329,120,2,2,2329
241813,121,2,4,1813
241254,122,2,4,1254
26823,123,2,6,823
223108,124,2,2,3108
2525,125,2,5,25
22103,126,2,2,103
21935,127,2,1,935
2589,128,2,5,89
214488,129,2,1,4488
21657,130,2,1,657
241421,131,2,4,1421
25230,132,2,5,230
25218,133,2,5,218
2326,134,2,3,26
231824,135,2,3,1824
26248,136,2,6,248
23155,137,2,3,155
25104,138,2,5,104
26832,139,2,6,832
212539,140,2,1,2539
26628,141,2,6,628
23139,142,2,3,139
231636,143,2,3,1636
2564,144,2,5,64
26111,145,2,6,111
22110,146,2,2,110
231603,147,2,3,1603
212183,148,2,1,2183
25193,149,2,5,193
26125,150,2,6,125
225374,151,2,2,5374
25242,152,2,5,242
225663,153,2,2,5663
21332,154,2,1,332
224995,155,2,2,4995
26529,156,2,6,529
21151,157,2,1,151
241961,158,2,4,1961
21329,159,2,1,329
241934,160,2,4,1934
214763,161,2,1,4763
2317,162,2,3,17
224774,163,2,2,4774
223570,164,2,2,3570
213735,165,2,1,3735
25246,166,2,5,246
215285,167,2,1,5285
222408,168,2,2,2408
22227,169,2,2,227
212490,170,2,1,2490
213946,171,2,1,3946
212456,172,2,1,2456
21271,173,2,1,271
221798,174,2,2,1798
241402,175,2,4,1402
25320,176,2,5,320
222952,177,2,2,2952
223219,178,2,2,3219
242017,179,2,4,2017
224796,180,2,2,4796
222358,181,2,2,2358
2561,182,2,5,61
25363,183,2,5,363
2535,184,2,5,35
224992,185,2,2,4992
25375,186,2,5,375
22129,187,2,2,129
221477,188,2,2,1477
222653,189,2,2,2653
25194,190,2,5,194
231927,191,2,3,1927
241110,192,2,4,1110
25376,193,2,5,376
22342,194,2,2,342
242113,195,2,4,2113
25249,196,2,5,249
27234,197,2,7,234
24262,198,2,4,262
221542,199,2,2,1542
25384,200,2,5,384
25241,201,2,5,241
231834,202,2,3,1834
231451,203,2,3,1451
23784,204,2,3,784
224997,205,2,2,4997
23884,206,2,3,884
26116,207,2,6,116
231368,208,2,3,1368
241954,209,2,4,1954
241668,210,2,4,1668
241977,211,2,4,1977
241448,212,2,4,1448
231075,213,2,3,1075
2315,214,2,3,15
241642,215,2,4,1642
241342,216,2,4,1342
241134,217,2,4,1134
24298,218,2,4,298
211297,219,2,1,1297
241497,220,2,4,1497
241439,221,2,4,1439
214925,222,2,1,4925
2581,223,2,5,81
23783,224,2,3,783
22186,225,2,2,186
2510,226,2,5,10
242136,227,2,4,2136
25244,228,2,5,244
224729,229,2,2,4729
26819,230,2,6,819
222282,231,2,2,2282
215534,232,2,1,5534
222818,233,2,2,2818
26721,234,2,6,721
222449,235,2,2,2449
222204,236,2,2,2204
223124,237,2,2,3124
225528,238,2,2,5528
213831,239,2,1,3831
21617,240,2,1,617
22259,241,2,2,259
221594,242,2,2,1594
22161,243,2,2,161
263,244,2,6,3
222237,245,2,2,2237
231191,246,2,3,1191
224962,247,2,2,4962
22169,248,2,2,169
222277,249,2,2,2277
221832,250,2,2,1832
22127,251,2,2,127
26122,252,2,6,122
22203,253,2,2,203
21386,254,2,1,386
222616,255,2,2,2616
22251,256,2,2,251
213368,257,2,1,3368
26498,258,2,6,498
2536,259,2,5,36
212160,260,2,1,2160
225006,261,2,2,5006
221273,262,2,2,1273
212071,263,2,1,2071
222123,264,2,2,2123
222855,265,2,2,2855
225105,266,2,2,5105
225075,267,2,2,5075
211444,268,2,1,1444
224877,269,2,2,4877
222128,270,2,2,2128
215167,271,2,1,5167
2534,272,2,5,34
212482,273,2,1,2482
25382,274,2,5,382
25312,275,2,5,312
25322,276,2,5,322
215037,277,2,1,5037
2528,278,2,5,28
25160,279,2,5,160
2578,280,2,5,78
25202,281,2,5,202
26583,282,2,6,583
25266,283,2,5,266
25137,284,2,5,137
24669,285,2,4,669
212142,286,2,1,2142
213170,287,2,1,3170
27220,288,2,7,220
21677,289,2,1,677
25300,290,2,5,300
214523,291,2,1,4523
26114,292,2,6,114
26839,293,2,6,839
2584,294,2,5,84
25355,295,2,5,355
26858,296,2,6,858
241619,297,2,4,1619
221481,298,2,2,1481
24219,299,2,4,219
241085,300,2,4,1085
214702,301,2,1,4702
2679,302,2,6,79
213726,303,2,1,3726
22522,304,2,2,522
23682,305,2,3,682
23934,306,2,3,934
214973,307,2,1,4973
224695,308,2,2,4695
211065,309,2,1,1065
23131,310,2,3,131
225489,311,2,2,5489
23995,312,2,3,995
21118,313,2,1,118
213800,314,2,1,3800
26461,315,2,6,461
221998,316,2,2,1998
27267,317,2,7,267
215324,318,2,1,5324
221181,319,2,2,1181
22211,320,2,2,211
26134,321,2,6,134
21195,322,2,1,195
27254,323,2,7,254
22258,324,2,2,258
26603,325,2,6,603
25260,326,2,5,260
22282,327,2,2,282
212154,328,2,1,2154
222274,329,2,2,2274
241309,330,2,4,1309
21242,331,2,1,242
225133,332,2,2,5133
213706,333,2,1,3706
23933,334,2,3,933
22242,335,2,2,242
22256,336,2,2,256
253,337,2,5,3
2680,338,2,6,80
215551,339,2,1,5551
215107,340,2,1,5107
213697,341,2,1,3697
25444,342,2,5,444
25150,343,2,5,150
23300,344,2,3,300
21852,345,2,1,852
213564,346,2,1,3564
25238,347,2,5,238
241766,348,2,4,1766
22311,349,2,2,311
241298,350,2,4,1298
26112,351,2,6,112
2761,352,2,7,61
25361,353,2,5,361
2582,354,2,5,82
258,355,2,5,8
214930,356,2,1,4930
26533,357,2,6,533
25304,358,2,5,304
26691,359,2,6,691
212518,360,2,1,2518
22212,361,2,2,212
242127,362,2,4,2127
22482,363,2,2,482
231615,364,2,3,1615
224925,365,2,2,4925
252,366,2,5,2
25395,367,2,5,395
225225,368,2,2,5225
23937,369,2,3,937
24678,370,2,4,678
242125,371,2,4,2125
227065,372,2,2,7065
2537,373,2,5,37
212492,374,2,1,2492
26620,375,2,6,620
27261,376,2,7,261
27272,377,2,7,272
2586,378,2,5,86
221668,379,2,2,1668
214754,380,2,1,4754
241388,381,2,4,1388
213381,382,2,1,3381
25418,383,2,5,418
213289,384,2,1,3289
25424,385,2,5,424
26874,386,2,6,874
214342,387,2,1,4342
25276,388,2,5,276
221653,389,2,2,1653
222435,390,2,2,2435
22553,391,2,2,553
213756,392,2,1,3756
212151,393,2,1,2151
25222,394,2,5,222
231439,395,2,3,1439
212502,396,2,1,2502
224730,397,2,2,4730
222820,398,2,2,2820
241886,399,2,4,1886
24732,400,2,4,732
221317,401,2,2,1317
27140,402,2,7,140
225021,403,2,2,5021
242049,404,2,4,2049
213732,405,2,1,3732
224904,406,2,2,4904
213691,407,2,1,3691
23114,408,2,3,114
223135,409,2,2,3135
211025,410,2,1,1025
213382,411,2,1,3382
221975,412,2,2,1975
213625,413,2,1,3625
213606,414,2,1,3606
241393,415,2,4,1393
231023,416,2,3,1023
212157,417,2,1,2157
221896,418,2,2,1896
221545,419,2,2,1545
225468,420,2,2,5468
215172,421,2,1,5172
241604,422,2,4,1604
222424,423,2,2,2424
225223,424,2,2,5223
231904,425,2,3,1904
241385,426,2,4,1385
25414,427,2,5,414
222517,428,2,2,2517
212159,429,2,1,2159
27126,430,2,7,126
27155,431,2,7,155
27156,432,2,7,156
2732,433,2,7,32
2716,434,2,7,16
2724,435,2,7,24
27145,436,2,7,145
27269,437,2,7,269
25196,438,2,5,196
212691,439,2,1,2691
224747,440,2,2,4747
213173,441,2,1,3173
212221,442,2,1,2221
25301,443,2,5,301
27194,444,2,7,194
2747,445,2,7,47
2573,446,2,5,73
242012,447,2,4,2012
241811,448,2,4,1811
25386,449,2,5,386
231599,450,2,3,1599
221471,451,2,2,1471
215892,452,2,1,5892
213783,453,2,1,3783
223479,454,2,2,3479
231004,455,2,3,1004
27262,456,2,7,262
2699,457,2,6,99
24671,458,2,4,671
25377,459,2,5,377
231012,460,2,3,1012
2522,461,2,5,22
25427,462,2,5,427
241874,463,2,4,1874
2692,464,2,6,92
25188,465,2,5,188
25162,466,2,5,162
212141,467,2,1,2141
24542,468,2,4,542
25388,469,2,5,388
25279,470,2,5,279
212190,471,2,1,2190
25350,472,2,5,350
231604,473,2,3,1604
273,474,2,7,3
25419,475,2,5,419
25432,476,2,5,432
21600,477,2,1,600
2759,478,2,7,59
2722,479,2,7,22
2736,480,2,7,36
213329,481,2,1,3329
27190,482,2,7,190
27203,483,2,7,203
27221,484,2,7,221
212485,485,2,1,2485
2576,486,2,5,76
2583,487,2,5,83
25212,488,2,5,212
2643,489,2,6,43
212487,490,2,1,2487
26500,491,2,6,500
2781,492,2,7,81
25163,493,2,5,163
215771,494,2,1,5771
25197,495,2,5,197
215329,496,2,1,5329
224986,497,2,2,4986
231580,498,2,3,1580
26483,499,2,6,483
2559,500,2,5,59
26581,501,2,6,581
2668,502,2,6,68
215187,503,2,1,5187
21942,504,2,1,942
2649,505,2,6,49
213593,506,2,1,3593
25207,507,2,5,207
2551,508,2,5,51
215153,509,2,1,5153
213283,510,2,1,3283
215446,511,2,1,5446
215155,512,2,1,5155
25243,513,2,5,243
215907,514,2,1,5907
212776,515,2,1,2776
212463,516,2,1,2463
25316,517,2,5,316
26711,518,2,6,711
231482,519,2,3,1482
26223,520,2,6,223
26605,521,2,6,605
211015,522,2,1,1015
26654,523,2,6,654
2574,524,2,5,74
25314,525,2,5,314
21585,526,2,1,585
25227,527,2,5,227
213834,528,2,1,3834
2647,529,2,6,47
26473,530,2,6,473
27266,531,2,7,266
2575,532,2,5,75
2585,533,2,5,85
2531,534,2,5,31
211812,535,2,1,1812
241223,536,2,4,1223
241221,537,2,4,1221
215323,538,2,1,5323
242030,539,2,4,2030
2595,540,2,5,95
25401,541,2,5,401
241546,542,2,4,1546
25288,543,2,5,288
215163,544,2,1,5163
27153,545,2,7,153
26475,546,2,6,475
213658,547,2,1,3658
25220,548,2,5,220
24570,549,2,4,570
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,
000,,,,